,,Value Tier,Ps,#,Player,Age,Team,OVR,,KTC,vKTC,Market Rank,,Buy/Sell/Hold,,Relative Base Value
9.04,,2nd +,WR,WR44,Chris Godwin,29.3,TBB,100,,105,+5,WR,41,Hold,,1.25
9.05,,2nd +,WR,WR45,Khalil Shakir,25.4,BUF,101,,111,+10,WR,45,Hold,,1.25
9.06,,2nd +,QB,QB27,Geno Smith,34.7,LVR,102,,129,+27,QB,27,🔥 Soft Buy,,1.25
9.07,,2nd +,QB,QB28,Sam Darnold,28.1,SEA,103,,110,+7,QB,26,Hold,,1.25
9.08,,2nd +,RB,RB23,Joe Mixon,28.9,HOU,104,,113,+9,RB,24,Hold,,1.25
9.09,,2nd +,RB,RB24,David Montgomery,28.1,DET,105,,109,+4,RB,23,Hold,,1.25
9.10,,2nd +,TE,TE9,Mark Andrews,29.8,BAL,106,,138,+32,TE,12,🚀 Hard Buy,,1.25
9.11,,2nd +,RB,RB25,Cam Skattebo,23.4,NYG,107,,114,+7,RB,25,Hold,,1.25
9.12,,2nd,TE,TE10,Tucker Kraft,24.6,GBP,108,,118,+10,TE,9,Hold,,1
10.01,,2nd,WR,WR46,Courtland Sutton,29.7,DEN,109,,116,+7,WR,47,Hold,,1
10.02,,2nd,WR,WR47,Jauan Jennings,28,SFO,110,,135,+25,WR,52,🔥 Soft Buy,,1
10.03,,2nd,RB,RB26,Aaron Jones,30.6,MIN,111,,148,+37,RB,36,🚀 Hard Buy,,1
10.04,,2nd,RB,RB27,D'Andre Swift,26.5,CHI,112,,127,+15,RB,29,🔥 Soft Buy,,1
10.05,,2nd,WR,WR48,Jack Bech,22.5,LVR,113,,133,+20,WR,51,🔥 Soft Buy,,1
10.06,,2nd,WR,WR49,Keon Coleman,22.1,BUF,114,,115,+1,WR,46,Hold,,1
10.07,,2nd,RB,RB28,Bhayshul Tuten,22.4,JAC,115,,141,+26,RB,34,🔥 Soft Buy,,1
10.08,,2nd,WR,WR50,Michael Pittman,27.7,IND,116,,128,+12,WR,49,Hold,,1
10.09,,2nd,TE,TE11,Kyle Pitts,24.7,ATL,117,,140,+23,TE,13,🔥 Soft Buy,,1
10.10,,2nd,WR,WR51,Stefon Diggs,31.6,NEP,118,,160,+42,WR,58,🚀 Hard Buy,,1
10.11,,2nd,RB,RB29,Zach Charbonnet,24.5,SEA,119,,120,+1,RB,26,Hold,,1
10.12,,2nd,RB,RB30,Tyrone Tracy,25.6,NYG,120,,134,+14,RB,32,Hold,,1
11.01,,2nd,RB,RB31,Brian Robinson,26.3,WAS,121,,131,+10,RB,30,Hold,,1
11.02,,2nd,TE,TE12,Dalton Kincaid,25.7,BUF,122,,122,0,TE,10,Hold,,1
11.03,,2nd,TE,TE13,Isaiah Likely,25.2,BAL,123,,117,-6,TE,8,Hold,,1
11.04,,2nd,RB,RB32,James Conner,30.2,ARI,124,,132,+8,RB,31,Hold,,1
11.05,,2nd -,RB,RB33,Tony Pollard,28.2,TEN,125,,147,+22,RB,35,🔥 Soft Buy,,0.75
11.06,,2nd -,WR,WR52,Jakobi Meyers,28.6,LVR,126,,130,+4,WR,50,Hold,,0.75
11.07,,2nd -,TE,TE14,Jonnu Smith,29.8,MIA,127,,191,+64,TE,24,🚀 Hard Buy,,0.75
11.08,,2nd -,QB,QB29,Jalen Milroe,22.6,SEA,128,,145,+17,QB,30,🔥 Soft Buy,,0.75
11.09,,2nd -,WR,WR53,Calvin Ridley,30.5,TEN,129,,149,+20,WR,54,🔥 Soft Buy,,0.75
11.10,,2nd -,QB,QB30,Matthew Stafford,37.4,LAR,130,,139,+9,QB,28,Hold,,0.75
11.11,,2nd -,RB,RB34,Travis Etienne,26.4,JAC,131,,137,+6,RB,33,Hold,,0.75
11.12,,2nd -,WR,WR54,Deebo Samuel,29.4,WAS,132,,154,+22,WR,56,🔥 Soft Buy,,0.75
12.01,,2nd -,WR,WR55,Jalen McMillan,23.6,TBB,133,,151,+18,WR,55,🔥 Soft Buy,,0.75
12.02,,2nd -,RB,RB35,Isiah Pacheco,26.3,KCC,134,,123,-11,RB,27,Hold,,0.75
12.03,,2nd -,RB,RB36,Jaylen Warren,26.7,PIT,135,,153,+18,RB,38,🔥 Soft Buy,,0.75
12.04,,2nd -,WR,WR56,Jaylin Noel,22.8,HOU,136,,146,+10,WR,53,Hold,,0.75
12.05,,2nd -,WR,WR57,Xavier Legette,24.4,CAR,137,,165,+28,WR,61,🔥 Soft Buy,,0.75
12.06,,2nd -,RB,RB37,Tyjae Spears,24,TEN,138,,158,+20,RB,39,🔥 Soft Buy,,0.75
12.07,,2nd -,RB,RB38,Najee Harris,27.3,LAC,139,,167,+28,RB,42,🔥 Soft Buy,,0.75
12.08,,3rd +,TE,TE15,Evan Engram,30.8,DEN,140,,157,+17,TE,15,🔥 Soft Buy,,0.6
12.09,,3rd +,TE,TE16,Brenton Strange,24.5,JAC,141,,177,+36,TE,19,🚀 Hard Buy,,0.6
12.10,,3rd +,TE,TE17,Jake Ferguson,26.4,DAL,142,,173,+31,TE,18,🚀 Hard Buy,,0.6
12.11,,3rd +,WR,WR58,Kyle Williams,22.6,NEP,143,,125,-18,WR,48,⚠️ Soft Sell,,0.6
12.12,,3rd +,WR,WR59,Cooper Kupp,32,SEA,144,,168,+24,WR,62,🔥 Soft Buy,,0.6
13.01,,3rd +,RB,RB39,Braelon Allen,21.4,NYJ,145,,175,+30,RB,44,🚀 Hard Buy,,0.6
13.02,,3rd +,TE,TE18,Mason Taylor,21.2,NYJ,146,,152,+6,TE,14,Hold,,0.6
13.03,,3rd +,TE,TE19,Travis Kelce,35.7,KCC,147,,171,+24,TE,17,🔥 Soft Buy,,0.6
13.04,,3rd +,RB,RB40,Rhamondre Stevenson,27.4,NEP,148,,195,+47,RB,52,🚀 Hard Buy,,0.6
13.05,,3rd +,RB,RB41,Dylan Sampson,20.8,CLE,149,,176,+27,RB,45,🔥 Soft Buy,,0.6
13.06,,3rd +,TE,TE20,Pat Freiermuth,26.7,PIT,150,,216,+66,TE,27,🚀 Hard Buy,,0.6
13.07,,3rd +,RB,RB42,Jordan Mason,26.1,MIN,151,,150,-1,RB,37,Hold,,0.6
13.08,,3rd +,RB,RB43,Tank Bigsby,23.8,JAC,152,,166,+14,RB,41,Hold,,0.6
13.09,,3rd +,TE,TE21,Cade Otton,26.2,TBB,153,,190,+37,TE,23,🚀 Hard Buy,,0.6
13.10,,3rd +,RB,RB44,Jaydon Blue,21.5,DAL,154,,161,+7,RB,40,Hold,,0.6
13.11,,3rd +,QB,QB31,Tyler Shough,25.8,NOS,155,,156,+1,QB,31,Hold,,0.6
13.12,,3rd +,WR,WR60,Rashid Shaheed,26.8,NOS,156,,162,+6,WR,59,Hold,,0.6
14.01,,3rd +,TE,TE22,Terrance Ferguson,22.3,LAR,157,,169,+12,TE,16,Hold,,0.6
14.02,,3rd +,RB,RB45,Trey Benson,22.9,ARI,158,,124,-34,RB,28,🛑 Hard Sell,,0.6
14.03,,3rd +,QB,QB32,Shedeur Sanders,23.4,CLE,159,,193,+34,QB,33,🚀 Hard Buy,,0.6
14.04,,3rd,RB,RB46,Rachaad White,26.5,TBB,160,,188,+28,RB,50,🔥 Soft Buy,,0.5
14.05,,3rd,WR,WR61,Cedric Tillman,25.2,CLE,161,,170,+9,WR,63,Hold,,0.5
14.06,,3rd,WR,WR62,Darnell Mooney,27.7,ATL,162,,159,-3,WR,57,Hold,,0.5
14.07,,3rd,RB,RB47,Javonte Williams,25.2,DAL,163,,179,+16,RB,46,🔥 Soft Buy,,0.5
14.08,,3rd,TE,TE23,Harold Fannin,21,CLE,164,,185,+21,TE,20,🔥 Soft Buy,,0.5
14.09,,3rd,TE,TE24,Theo Johnson,24.3,NYG,165,,236,+71,TE,29,🚀 Hard Buy,,0.5
14.10,,3rd,WR,WR63,Marvin Mims,23.3,DEN,166,,172,+6,WR,64,Hold,,0.5
14.11,,3rd,WR,WR64,Rashod Bateman,25.6,BAL,167,,164,-3,WR,60,Hold,,0.5
14.12,,3rd,TE,TE25,Dallas Goedert,30.5,PHI,168,,197,+29,TE,25,🔥 Soft Buy,,0.5
15.01,,3rd,RB,RB48,Isaac Guerendo,25,SFO,169,,180,+11,RB,47,Hold,,0.5
15.02,,3rd,WR,WR65,Jalen Royals,22.4,KCC,170,,192,+22,WR,68,🔥 Soft Buy,,0.5
15.03,,3rd,RB,RB49,Devin Neal,21.9,NOS,171,,200,+29,RB,55,🔥 Soft Buy,,0.5
15.04,,3rd,RB,RB50,Blake Corum,24.6,LAR,172,,215,+43,RB,60,🚀 Hard Buy,,0.5
15.05,,3rd,WR,WR66,Jalen Coker,23.7,CAR,173,,189,+16,WR,67,🔥 Soft Buy,,0.5
15.06,,3rd,RB,RB51,Jaylen Wright,22.2,MIA,174,,174,0,RB,43,Hold,,0.5
15.07,,3rd,WR,WR67,Tank Dell,25.7,HOU,175,,206,+31,WR,72,🚀 Hard Buy,,0.5
15.08,,3rd,WR,WR68,Romeo Doubs,25.2,GBP,176,,204,+28,WR,71,🔥 Soft Buy,,0.5
15.09,,3rd,RB,RB52,Trevor Etienne,21,CAR,177,,201,+24,RB,56,🔥 Soft Buy,,0.5
15.10,,3rd,RB,RB53,Ray Davis,25.6,BUF,178,,182,+4,RB,49,Hold,,0.5
15.11,,3rd,RB,RB54,Jonathon Brooks,21.9,CAR,179,,205,+26,RB,57,🔥 Soft Buy,,0.5
15.12,,3rd,TE,TE26,Ben Sinnott,23,WAS,180,,187,+7,TE,22,Hold,,0.5
16.01,,3rd,TE,TE27,Elijah Arroyo,22.2,SEA,181,,186,+5,TE,21,Hold,,0.5
16.02,,3rd,WR,WR69,Marquise Brown,28.1,KCC,182,,210,+28,WR,73,🔥 Soft Buy,,0.5
16.03,,3rd,WR,WR70,Quentin Johnston,23.8,LAC,183,,203,+20,WR,70,🔥 Soft Buy,,0.5
16.04,,3rd,TE,TE28,Ja'Tavion Sanders,22.3,CAR,184,,211,+27,TE,26,🔥 Soft Buy,,0.5
16.05,,3rd,WR,WR71,Adonai Mitchell,22.7,IND,185,,184,-1,WR,66,Hold,,0.5
16.06,,3rd,WR,WR72,Christian Watson,26.1,GBP,186,,223,+37,WR,78,🚀 Hard Buy,,0.5
16.07,,3rd -,QB,QB33,Russell Wilson,36.6,NYG,187,,227,+40,QB,34,🚀 Hard Buy,,0.4
16.08,,3rd -,QB,QB34,Daniel Jones,28.1,IND,188,,178,-10,QB,32,Hold,,0.4
16.09,,3rd -,RB,RB55,Ollie Gordon,21.4,MIA,189,,226,+37,RB,63,🚀 Hard Buy,,0.4
16.10,,3rd -,RB,RB56,J.K. Dobbins,26.5,DEN,190,,181,-9,RB,48,Hold,,0.4
16.11,,3rd -,WR,WR73,Christian Kirk,28.6,HOU,191,,222,+31,WR,77,🚀 Hard Buy,,0.4
16.12,,3rd -,WR,WR74,Wan'Dale Robinson,24.5,NYG,192,,202,+10,WR,69,Hold,,0.4
17.01,,3rd -,RB,RB57,Rico Dowdle,27,CAR,193,,234,+41,RB,64,🚀 Hard Buy,,0.4
17.02,,3rd -,WR,WR75,Elic Ayomanor,22.1,TEN,194,,214,+20,WR,75,🔥 Soft Buy,,0.4
17.03,,3rd -,RB,RB58,MarShawn Lloyd,24.5,GBP,195,,208,+13,RB,58,Hold,,0.4
17.04,,3rd -,WR,WR76,Dontayvion Wicks,24,GBP,196,,231,+35,WR,81,🚀 Hard Buy,,0.4
17.05,,3rd -,RB,RB59,DJ Giddens,21.8,IND,197,,198,+1,RB,53,Hold,,0.4
17.06,,3rd -,RB,RB60,Tyler Allgeier,25.2,ATL,198,,194,-4,RB,51,Hold,,0.4
17.07,,3rd -,WR,WR77,Alec Pierce,25.2,IND,199,,228,+29,WR,80,🔥 Soft Buy,,0.4
17.08,,3rd -,WR,WR78,Demario Douglas,24.6,NEP,200,,212,+12,WR,74,Hold,,0.4
17.09,,3rd -,QB,QB35,Will Howard,23.8,PIT,201,,232,+31,QB,36,🚀 Hard Buy,,0.4
17.10,,3rd -,RB,RB61,Jordan James,21.2,SFO,202,,217,+15,RB,61,🔥 Soft Buy,,0.4
17.11,,3rd -,WR,WR79,Troy Franklin,22.4,DEN,203,,233,+30,WR,82,🚀 Hard Buy,,0.4
17.12,,3rd -,QB,QB36,Joe Milton,25.3,DAL,204,,230,+26,QB,35,🔥 Soft Buy,,0.4
18.01,,3rd -,TE,TE29,Cole Kmet,26.3,CHI,205,,229,+24,TE,28,🔥 Soft Buy,,0.4
18.02,,3rd -,RB,RB62,Audric Estime,21.8,DEN,206,,257,+51,RB,70,🚀 Hard Buy,,0.4
18.03,,3rd -,TE,TE30,Luke Musgrave,24.8,GBP,207,,248,+41,TE,33,🚀 Hard Buy,,0.4
18.04,,3rd -,RB,RB63,Kendre Miller,23,NOS,208,,241,+33,RB,66,🚀 Hard Buy,,0.4
18.05,,3rd -,WR,WR80,Joshua Palmer,25.8,BUF,209,,238,+29,WR,83,🔥 Soft Buy,,0.4
18.06,,3rd -,TE,TE31,Chigoziem Okonkwo,25.8,TEN,210,,240,+30,TE,30,🚀 Hard Buy,,0.4
18.07,,3rd -,WR,WR81,Amari Cooper,31,FA,211,,309,+98,WR,108,🚀 Hard Buy,,0.4
18.08,,3rd -,WR,WR82,Ja'Lynn Polk,23.2,NEP,212,,289,+77,WR,100,🚀 Hard Buy,,0.4
18.09,,3rd -,TE,TE32,Mike Gesicki,29.7,CIN,213,,252,+39,TE,35,🚀 Hard Buy,,0.4
18.10,,3rd -,TE,TE33,Dalton Schultz,29,HOU,214,,255,+41,TE,36,🚀 Hard Buy,,0.4
18.11,,3rd -,RB,RB64,Keaton Mitchell,23.4,BAL,215,,244,+29,RB,67,🔥 Soft Buy,,0.4
18.12,,3rd -,TE,TE34,Michael Mayer,24,LVR,216,,247,+31,TE,32,🚀 Hard Buy,,0.4
19.01,,3rd -,RB,RB65,Roschon Johnson,24.4,CHI,217,,209,-8,RB,59,Hold,,0.4
19.02,,3rd -,WR,WR83,Michael Wilson,25.4,ARI,218,,246,+28,WR,85,🔥 Soft Buy,,0.4
19.03,,3rd -,QB,QB37,Dillon Gabriel,24.5,CLE,219,,259,+40,QB,38,🚀 Hard Buy,,0.4
19.04,,3rd -,TE,TE35,Noah Gray,26.2,KCC,220,,256,+36,TE,37,🚀 Hard Buy,,0.4
19.05,,3rd -,WR,WR84,Roman Wilson,24,PIT,221,,219,-2,WR,76,Hold,,0.4
19.06,,3rd -,QB,QB38,Kirk Cousins,36.9,ATL,222,,290,+68,QB,41,🚀 Hard Buy,,0.4
19.07,,3rd -,WR,WR85,Pat Bryant,22.6,DEN,223,,183,-40,WR,65,🛑 Hard Sell,,0.4
19.08,,3rd -,RB,RB66,Jerome Ford,25.8,CLE,224,,258,+34,RB,71,🚀 Hard Buy,,0.4
19.09,,3rd -,RB,RB67,Tahj Brooks,23.1,CIN,225,,237,+12,RB,65,Hold,,0.4
19.10,,3rd -,WR,WR86,Jordan Whittington,24.8,LAR,226,,260,+34,WR,87,🚀 Hard Buy,,0.4
19.11,,4th +,WR,WR87,Andrei Iosivas,25.7,CIN,227,,265,+38,WR,91,🚀 Hard Buy,,0.3
19.12,,4th +,RB,RB68,Austin Ekeler,30.1,WAS,228,,270,+42,RB,74,🚀 Hard Buy,,0.3
20.01,,4th +,RB,RB69,Jarquez Hunter,22.5,LAR,229,,199,-30,RB,54,🛑 Hard Sell,,0.3
20.02,,4th +,WR,WR88,Kayshon Boutte,23.2,NEP,230,,261,+31,WR,88,🚀 Hard Buy,,0.3
20.03,,4th +,WR,WR89,Isaac TeSlaa,23.4,DET,231,,224,-7,WR,79,Hold,,0.3
20.04,,4th +,RB,RB70,Jaleel McLaughlin,24.8,DEN,232,,295,+63,RB,78,🚀 Hard Buy,,0.3
20.05,,4th +,QB,QB39,Quinn Ewers,22.1,MIA,233,,281,+48,QB,39,🚀 Hard Buy,,0.3
